a	/ə/	Danh từ	một	
kid	/kɪd/	danh từ	đứa trẻ, con nít.	
kill	/kɪl/	động từ	giết, sát hại.	
kind	/kaɪnd/	tính từ	loại, thể loại; tử tế, tốt bụng.	
kitchen	/ˈkɪtʃən/	danh từ	nhà bếp.	
know	/noʊ/	động từ	biết, hiểu.	
knowledge	/ˈnɑːlɪdʒ/	danh từ	kiến thức, tri thức.	
land	/lænd/	danh từ	đất, đất đai.	
language	/ˈlæŋɡwɪdʒ/	danh từ	ngôn ngữ.	
large	/lɑːrdʒ/	tính từ	lớn, rộng.	
last	/læst/	tính từ	cuối cùng, trước khi hết.	
late	/leɪt/	tính từ	muộn, trễ; đã mất, đã qua đời.	
later	/ˈleɪtɚ/	trạng từ	sau này, sau đó.	
laugh	/læf/	động từ	cười	
law	/lɔː/	danh từ	luật, pháp luật.	
lawyer	/ˈlɔɪ.jɚ/	danh từ	người luật sư.	
lay	/leɪ/	động từ	đặt, để, bố trí.	
lead	/liːd/	động từ	dẫn dắt, dẫn đường.	
leader	/ˈliːdɚ/	danh từ	người lãnh đạo, người dẫn đầu.	
learn	/lɜːrn/	động từ	học, tìm hiểu.	
least	/liːst/	trạng từ	ít nhất, nhỏ nhất.	
leave	/liːv/	động từ	rời đi, ra đi.	
left	/left/	động từ	trái, còn lại.	
leg	/leɡ/	danh từ	chân.	
legal	/ˈliːɡəl/	tính từ	hợp pháp, pháp lý.	
less	/les/	tính từ	ít hơn, không nhiều.	
let	/let/	động từ	để, cho phép.	
letter	/ˈletɚ/	danh từ	lá thư, chữ cái.	
level	/ˈlevəl/	danh từ	mức độ, trình độ.	
lie	/laɪ/	động từ	nói dối, nằm.	
life	/laɪf/	danh từ	cuộc sống, sự sống.	
light	/laɪt/	danh từ	ánh sáng, nhẹ nhàng.	
like	/laɪk/	động từ	giống, như.	
likely	/ˈlaɪkli/	trạng từ	có khả năng, có thể.	
line	/laɪn/	danh từ	dòng, hàng, đường.	
list	/lɪst/	danh từ	danh sách, liệt kê.	
listen	/ˈlɪsən/	động từ	nghe, lắng nghe.	
little	/ˈlɪtəl/	lượng từ	nhỏ, ít.	
live	/lɪv /	động từ	sống, sinh sống.	
local	/ˈloʊkəl/	tính từ	địa phương.	
long	/lɔːŋ/	tính từ	dài, lâu.	
look	/lʊk/	động từ	nhìn.	
lose	/luːz/	động từ	mất.	
loss	/lɔːs/	danh từ	sự mất mát, tổn thất.	
lot	/lɑːt/	lượng từ	nhiều, rất nhiều.	
love	/lʌv/	động từ	yêu	
low	/loʊ/	tính từ	thấp.	
machine	/məˈʃiːn/	danh từ	máy móc, thiết bị.	
magazine	/ˌmæɡəˈziːn/	danh từ	tạp chí, ấn phẩm.	
main	/meɪn/	tính từ	chính, chủ yếu.	
maintain	/meɪnˈteɪn /	động từ	duy trì, bảo quản.	
major	/ˈmeɪdʒɚ/	tính từ	chính, quan trọng; chuyên ngành.	
majority	/məˈdʒɔːrəti/	danh từ	đa số, phần lớn.	
make	/meɪk/	động từ	làm, tạo ra.	
man	/mæn/	danh từ	người đàn ông, người.	
manage	/ˈmænɪdʒ/	động từ	quản lý, điều hành.	
management	/ˈmænɪdʒmənt/	danh từ	quản lý, sự quản lý.	
manager	/ˈmænɪdʒɚ/	danh từ	người quản lý, giám đốc.	
many	/ˈmeni/	lượng từ	nhiều, nhiều.	
market	/ˈmɑːrkɪt/	danh từ	thị trường, chợ.	
marriage	/ˈmæriɪdʒ/	danh từ	hôn nhân, cuộc sống hôn nhân.	
material	/məˈtɪriəl/	danh từ	vật liệu, nguyên liệu; chất liệu, tài liệu.	
matter	/ˈmætɚ/	danh từ	vấn đề, điều quan trọng.	
may	/meɪ/	động từ khuyết thiếu	có thể, có lẽ.	
maybe	/ˈmeɪbiː/	trạng từ	có thể, có lẽ.	
me	/miː/	đại từ	tôi, tớ.	
mean	/miːn/	tính từ	có nghĩa là, ý chỉ.	
measure	/ˈmeʒɚ/	danh từ	đo lường, biện pháp.	
media	/ˈmidiə/	danh từ	truyền thông, phương tiện truyền thông.	
medical	/ˈmedɪkl/	tính từ	y tế, thuộc về y học.	
meet	/miːt/	động từ	gặp gỡ, họp.	
meeting	/ˈmiːtɪŋ/	danh từ	cuộc họp, buổi gặp gỡ.	
